Title,Location,Poster URL,Banner URL,Event Website
CSD,A-121,Assets/StreamingAssets/Posters/poster2.jpg,Assets/StreamingAssets/Banners/banner2.jpg,https://csd.uoc.gr
FuturEd AI Hackathon,H-204,Assets/StreamingAssets/Posters/poster1.jpg,Assets/StreamingAssets/Banners/banner1.jpg,https://hackathon.csd.uoc.gr/
